Grievance Title,Brief Summary,Category,Department,Detailed Description,Location / Ward No,Priority Level,Attachment Name,Internal Notes,Date Submitted,Status
"Sanitation Issue at Ward 8, Central Zone - 544","Complaint regarding sanitation in Ward 8, Central Zone.",Sanitation,Health & Family Welfare,"Illegal dumping of construction waste in Ward 8, Central Zone.","Ward 8, Central Zone",High,None,Assigned to Health & Family Welfare team.,2025-08-29,New
"Electricity Issue at Garden City, Phase 1 - 253","Complaint regarding electricity in Garden City, Phase 1.",Electricity,Electricity Board,"Frequent power cuts without notice in Garden City, Phase 1.","Garden City, Phase 1",Urgent,None,Assigned to Electricity Board team.,2025-08-19,Resolved
"Electricity Issue at Sector 17, Heritage Colony - 573","Complaint regarding electricity in Sector 17, Heritage Colony.",Electricity,Electricity Board,"Street pole spark observed near Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Medium,evidence_376.jpg,Assigned to Electricity Board team.,2025-11-01,New
"Water Supply Issue at Sector 18, Heritage Colony - 983","Complaint regarding water supply in Sector 18, Heritage Colony.",Water Supply,Municipal Corporation,"No water supply for the last 30 days in Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Medium,evidence_377.jpg,Assigned to Municipal Corporation team.,2025-10-07,In Progress
"Healthcare Issue at Ward 6, Central Zone - 884","Complaint regarding healthcare in Ward 6, Central Zone.",Healthcare,Health & Family Welfare,"Emergency ambulance delayed by 35 hours for Ward 6, Central Zone.","Ward 6, Central Zone",Low,None,Assigned to Health & Family Welfare team.,2025-12-22,Escalated
"Water Supply Issue at Sector 11, Heritage Colony - 949","Complaint regarding water supply in Sector 11, Heritage Colony.",Water Supply,Public Works Department (PWD),"Low pressure water being received at Sector 11, Heritage Colony.","Sector 11, Heritage Colony",Low,evidence_379.jpg,Assigned to Public Works Department (PWD) team.,2025-07-23,New
"Water Supply Issue at Sector 13, Heritage Colony - 478","Complaint regarding water supply in Sector 13, Heritage Colony.",Water Supply,Public Works Department (PWD),"Continuous leakage in the main pipeline near Sector 13, Heritage Colony.","Sector 13, Heritage Colony",Medium,None,Assigned to Public Works Department (PWD) team.,2025-07-29,In Progress
"Public Safety Issue at Sector 12, Heritage Colony - 989","Complaint regarding public safety in Sector 12, Heritage Colony.",Public Safety,Police Department,"Lack of police patrolling observed during night in Sector 12, Heritage Colony.","Sector 12, Heritage Colony",Urgent,None,Assigned to Police Department team.,2025-03-12,In Progress
"Public Safety Issue at Ward 8, Central Zone - 637","Complaint regarding public safety in Ward 8, Central Zone.",Public Safety,Police Department,"Increase in petty thefts reported in Ward 8, Central Zone after 9 PM.","Ward 8, Central Zone",Urgent,None,Assigned to Police Department team.,2025-08-08,New
"Drainage Issue at Sector 10, Heritage Colony - 528","Complaint regarding drainage in Sector 10, Heritage Colony.",Drainage,Municipal Corporation,"Main drain choked with plastic waste near Sector 10, Heritage Colony.","Sector 10, Heritage Colony",High,None,Assigned to Municipal Corporation team.,2025-03-09,Resolved
"Waste Management Issue at Sector 18, Heritage Colony - 941","Complaint regarding waste management in Sector 18, Heritage Colony.",Waste Management,Sanitation Department,"Biomedical waste found dumped in the residential area of Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Low,None,Assigned to Sanitation Department team.,2025-08-22,New
"Sanitation Issue at Sector 15, Heritage Colony - 208","Complaint regarding sanitation in Sector 15, Heritage Colony.",Sanitation,Health & Family Welfare,"Illegal dumping of construction waste in Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Urgent,None,Assigned to Health & Family Welfare team.,2025-11-12,Escalated
"Roads & Infrastructure Issue at Sector 16, Heritage Colony - 726","Complaint regarding roads & infrastructure in Sector 16, Heritage Colony.",Roads & Infrastructure,Urban Development Authority,"Street pavement broken near Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Medium,evidence_386.jpg,Assigned to Urban Development Authority team.,2026-01-13,Escalated
"Water Supply Issue at Sector 19, Heritage Colony - 143","Complaint regarding water supply in Sector 19, Heritage Colony.",Water Supply,Public Works Department (PWD),"Low pressure water being received at Sector 19, Heritage Colony.","Sector 19, Heritage Colony",High,evidence_387.jpg,Assigned to Public Works Department (PWD) team.,2025-06-09,Escalated
"Electricity Issue at Garden City, Phase 2 - 996","Complaint regarding electricity in Garden City, Phase 2.",Electricity,Urban Development Authority,"Electricity bill incorrectly calculated for Garden City, Phase 2.","Garden City, Phase 2",High,None,Assigned to Urban Development Authority team.,2025-08-30,Escalated
"Street Lighting Issue at Sector 17, Heritage Colony - 993","Complaint regarding street lighting in Sector 17, Heritage Colony.",Street Lighting,Electricity Board,"Dark spots on the road due to non-functional lights in Sector 17, Heritage Colony.","Sector 17, Heritage Colony",High,None,Assigned to Electricity Board team.,2026-01-07,In Progress
"Sanitation Issue at Garden City, Phase 4 - 384","Complaint regarding sanitation in Garden City, Phase 4.",Sanitation,Health & Family Welfare,"Illegal dumping of construction waste in Garden City, Phase 4.","Garden City, Phase 4",High,None,Assigned to Health & Family Welfare team.,2025-06-21,Resolved
"Water Supply Issue at Sector 12, Heritage Colony - 176","Complaint regarding water supply in Sector 12, Heritage Colony.",Water Supply,Municipal Corporation,"Continuous leakage in the main pipeline near Sector 12, Heritage Colony.","Sector 12, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-04-03,New
"Public Safety Issue at Sector 19, Heritage Colony - 204","Complaint regarding public safety in Sector 19, Heritage Colony.",Public Safety,Police Department,"Illegal parking blocking emergency exits in Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Urgent,None,Assigned to Police Department team.,2025-08-27,In Progress
"Water Supply Issue at Ward 2, Central Zone - 320","Complaint regarding water supply in Ward 2, Central Zone.",Water Supply,Public Works Department (PWD),"Low pressure water being received at Ward 2, Central Zone.","Ward 2, Central Zone",Low,None,Assigned to Public Works Department (PWD) team.,2025-11-07,New
"Education Issue at Sector 17, Heritage Colony - 147","Complaint regarding education in Sector 17, Heritage Colony.",Education,Education Department,"Lack of pure drinking water facilities in Sector 17, Heritage Colony primary school.","Sector 17, Heritage Colony",Urgent,evidence_394.jpg,Assigned to Education Department team.,2026-02-04,Escalated
"Education Issue at Sector 12, Heritage Colony - 144","Complaint regarding education in Sector 12, Heritage Colony.",Education,Urban Development Authority,"School building in Sector 12, Heritage Colony needs urgent structural repairs.","Sector 12, Heritage Colony",High,None,Assigned to Urban Development Authority team.,2025-03-06,New
"Drainage Issue at Ward 4, Central Zone - 611","Complaint regarding drainage in Ward 4, Central Zone.",Drainage,Public Works Department (PWD),"Main drain choked with plastic waste near Ward 4, Central Zone.","Ward 4, Central Zone",Low,None,Assigned to Public Works Department (PWD) team.,2025-03-18,New
"Electricity Issue at Sector 16, Heritage Colony - 567","Complaint regarding electricity in Sector 16, Heritage Colony.",Electricity,Electricity Board,"Electricity bill incorrectly calculated for Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Low,None,Assigned to Electricity Board team.,2025-10-19,Escalated
"Electricity Issue at Garden City, Phase 2 - 169","Complaint regarding electricity in Garden City, Phase 2.",Electricity,Electricity Board,"Street pole spark observed near Garden City, Phase 2.","Garden City, Phase 2",Low,evidence_398.jpg,Assigned to Electricity Board team.,2025-05-07,Resolved
"Street Lighting Issue at Garden City, Phase 1 - 657","Complaint regarding street lighting in Garden City, Phase 1.",Street Lighting,Electricity Board,"Dark spots on the road due to non-functional lights in Garden City, Phase 1.","Garden City, Phase 1",Medium,evidence_399.jpg,Assigned to Electricity Board team.,2026-02-11,Resolved
"Water Supply Issue at Sector 11, Heritage Colony - 561","Complaint regarding water supply in Sector 11, Heritage Colony.",Water Supply,Municipal Corporation,"Continuous leakage in the main pipeline near Sector 11, Heritage Colony.","Sector 11, Heritage Colony",Urgent,None,Assigned to Municipal Corporation team.,2025-05-05,New
"Electricity Issue at Sector 15, Heritage Colony - 636","Complaint regarding electricity in Sector 15, Heritage Colony.",Electricity,Electricity Board,"Electricity bill incorrectly calculated for Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Medium,None,Assigned to Electricity Board team.,2025-05-23,New
"Electricity Issue at Ward 5, Central Zone - 748","Complaint regarding electricity in Ward 5, Central Zone.",Electricity,Urban Development Authority,"High voltage fluctuations causing damage to appliances in Ward 5, Central Zone.","Ward 5, Central Zone",Medium,None,Assigned to Urban Development Authority team.,2025-04-02,Escalated
"Electricity Issue at Ward 2, Central Zone - 832","Complaint regarding electricity in Ward 2, Central Zone.",Electricity,Urban Development Authority,"Electricity bill incorrectly calculated for Ward 2, Central Zone.","Ward 2, Central Zone",Low,None,Assigned to Urban Development Authority team.,2025-09-06,New
"Street Lighting Issue at Garden City, Phase 2 - 740","Complaint regarding street lighting in Garden City, Phase 2.",Street Lighting,Electricity Board,"Street lights not working for 41 nights in Garden City, Phase 2.","Garden City, Phase 2",Low,None,Assigned to Electricity Board team.,2026-03-01,Resolved
"Sanitation Issue at Sector 16, Heritage Colony - 658","Complaint regarding sanitation in Sector 16, Heritage Colony.",Sanitation,Health & Family Welfare,"Drainage blockage causing water logging in Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Medium,None,Assigned to Health & Family Welfare team.,2026-01-28,New
"Sanitation Issue at Ward 9, Central Zone - 785","Complaint regarding sanitation in Ward 9, Central Zone.",Sanitation,Health & Family Welfare,"Drainage blockage causing water logging in Ward 9, Central Zone.","Ward 9, Central Zone",Low,evidence_406.jpg,Assigned to Health & Family Welfare team.,2025-10-21,Escalated
"Electricity Issue at Sector 16, Heritage Colony - 847","Complaint regarding electricity in Sector 16, Heritage Colony.",Electricity,Urban Development Authority,"Electricity bill incorrectly calculated for Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Urgent,None,Assigned to Urban Development Authority team.,2025-09-06,In Progress
"Education Issue at Sector 11, Heritage Colony - 837","Complaint regarding education in Sector 11, Heritage Colony.",Education,Education Department,"Lack of pure drinking water facilities in Sector 11, Heritage Colony primary school.","Sector 11, Heritage Colony",High,None,Assigned to Education Department team.,2025-08-22,New
"Healthcare Issue at Ward 4, Central Zone - 419","Complaint regarding healthcare in Ward 4, Central Zone.",Healthcare,Municipal Corporation,"Emergency ambulance delayed by 20 hours for Ward 4, Central Zone.","Ward 4, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2025-03-29,New
"Electricity Issue at Garden City, Phase 4 - 862","Complaint regarding electricity in Garden City, Phase 4.",Electricity,Electricity Board,"Electricity bill incorrectly calculated for Garden City, Phase 4.","Garden City, Phase 4",Low,None,Assigned to Electricity Board team.,2025-10-11,Escalated
"Street Lighting Issue at Ward 3, Central Zone - 830","Complaint regarding street lighting in Ward 3, Central Zone.",Street Lighting,Municipal Corporation,"New street light poles installed but not connected in Ward 3, Central Zone.","Ward 3, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2025-12-21,Escalated
"Electricity Issue at Ward 2, Central Zone - 647","Complaint regarding electricity in Ward 2, Central Zone.",Electricity,Electricity Board,"High voltage fluctuations causing damage to appliances in Ward 2, Central Zone.","Ward 2, Central Zone",Urgent,evidence_412.jpg,Assigned to Electricity Board team.,2025-07-18,Resolved
"Electricity Issue at Ward 8, Central Zone - 399","Complaint regarding electricity in Ward 8, Central Zone.",Electricity,Electricity Board,"Electricity bill incorrectly calculated for Ward 8, Central Zone.","Ward 8, Central Zone",Urgent,None,Assigned to Electricity Board team.,2026-01-27,Resolved
